question,answer
"What are Weingarten Rights?","Per IRM 6.752.1, bargaining unit employees can request union representation during investigatory interviews."
"How does the IRS Performance Management program foster a learning culture under 5 CFR 412.202(b)?","The IRS Performance Management program, as outlined in IRM 6.430.1, fosters a learning culture by improving communications, coordinating planning, and aligning employee development with organizational goals, encouraging continuous learning and feedback."
"What is the purpose of critical job elements (CJEs) in IRS performance evaluations?","CJEs in IRM 6.430.2 evaluate bargaining unit employees on key job aspects, supporting performance improvement by identifying strengths and areas for development, aligned with systematic training."
"How do IRS managers use balanced measures for performance management?","Per IRM 1.5.1, IRS managers use balanced measures to monitor and improve organizational performance, integrating customer satisfaction, employee engagement, and business results for performance improvement."
"What are the requirements for performance appraisals during IRS temporary assignments?","IRM 6.430.5 requires employees on temporary promotions of 60 days or more to adopt the appraisal period of the assignment."
"How does the IRS Balanced Performance Measurement System support employee development?","The system in IRM 1.5.1 uses measures to identify training needs, fostering a learning culture and systematic development."
"What is the IRS policy on addressing poor performance?","IRM 6.432.1 provides guidance on corrective actions for poor performance, emphasizing non-disciplinary measures first to improve performance."
"What are employee responsibilities in IRS time and attendance?","Per IRM 6.630.1, employees must accurately enter time and attendance into the T&A system and review earnings statements, supporting systematic administrative processes."
"What is IRS policy on non-disciplinary actions for misconduct?","IRM 6.752.1 outlines non-disciplinary actions like counseling to address minor misconduct, supporting performance improvement without formal discipline."
"How are disciplinary suspensions handled in IRS?","IRM 6.752.1 covers disciplinary suspensions as part of corrective actions, requiring documentation and alignment with progressive discipline principles."
"What are adverse actions in IRS employee relations?","Adverse actions in IRM 6.752.1 include removals or reductions in grade for serious misconduct, tied to performance improvement plans when applicable."
"How does IRS distinguish between disciplinary and non-disciplinary measures?","IRM 6.752.1 defines disciplinary actions as formal penalties, while non-disciplinary are informal like oral admonishments."
"What is progressive discipline in the IRS context?","Progressive discipline escalates from counseling to reprimands and suspensions per IRM 6.752.1, aimed at performance improvement and behavior correction."
"What documentation is required for IRS disciplinary actions?","IRM 6.752.1 requires written notices and evidence for disciplinary actions, supporting systematic processes for performance management."
"What steps are involved in processing performance forms in IRS SAP SuccessFactors?","In SAP SuccessFactors, managers launch forms, request feedback, rate competencies, and finalize reviews."
"How do IRS managers request feedback in SAP SuccessFactors?","Managers use the 'Ask for Feedback' feature in team overview to solicit rater input on employee performance, processing documents for comprehensive evaluations."
"How are self-assessments handled in IRS SAP SuccessFactors?","Employees perform self-assessments in their performance forms, which managers review and rate, integrating into the document processing for development."
"What is continuous performance management in IRS SAP system?","It allows ongoing feedback and activity tracking in SAP SuccessFactors, processing performance data real-time for improvement and mentoring."
"How do IRS employees update goals in SAP SuccessFactors?","Employees access the goals module to review, add, or update goals, processing performance documents aligned with corporate objectives."
"What is the role of stack ranker in IRS performance processing?","Stack ranker in SAP allows managers to compare competencies across employees, aiding in processing fair performance ratings and development plans."
"How are 360-degree reviews processed in IRS SAP SuccessFactors?","Employees create forms, nominate raters, and managers approve lists in SAP, processing multi-source feedback for performance improvement."
"What steps finalize IRS performance reviews in SAP?","Managers rate, calibrate, discuss, and sign forms in SAP SuccessFactors, completing the processing of performance documents."
"How is feedback viewed in IRS continuous performance module?","Employees and managers view feedback on activities via the continuous performance screen in SAP, processing ongoing performance data."
"What are IRS manager responsibilities in employee mentoring?","Managers mentor by identifying training opportunities and collaboratively developing career learning plans with employees."
"How is mentoring integrated into IRS performance management?","Mentoring provides feedback and coaching in continuous performance, supporting employee growth as a manager's duty."
"How do IRS managers use mentoring for poor performance?","Managers mentor through counseling and training plans to address performance issues, aligning with progressive discipline."
"What is IRS policy on annual leave administration?","IRM 6.630.1 governs annual leave accrual and use, supporting work-life balance and performance through restored leave options."
"How does IRS handle leave without pay (LWOP)?","LWOP is granted per IRM 6.630.1 for various reasons, affecting benefits and requiring approval for extended absences."
"What are the rules for IRS administrative leave?","IRM 6.630.4 provides for administrative leave during investigations or weather events, ensuring safety and fair administration."
"How is family and medical leave administered in IRS?","FMLA under IRM 6.630.1 allows up to 12 weeks unpaid leave, with procedures for certification and return to work."
"What flexibilities does IRS offer for birth or adoption leave?","IRM 6.630.5 provides paid parental leave and flexibilities, supporting employee retention and performance post-event."
"What is the IRS agency grievance system?","IRM 6.771.1 processes grievances informally or formally, allowing employees to address concerns with management."
"How are IRS grievances filed and resolved?","Grievances start at the lowest level per IRM 6.771.1, with steps for escalation and resolution through negotiation."
"What authorities oversee IRS labor relations and grievances?","IRM 6.711.1 outlines FLRA and other authorities for processing grievances and unfair labor practices."
"How do IRS employees appeal grievance decisions?","Appeals may go to arbitration, MSBP, or FLRA per the National Agreement, ensuring fair resolution of disputes."
"How does IRS performance management tie to discipline?","Poor performance leads to PIPs per IRM 6.432.1, potentially escalating to disciplinary or adverse actions under IRM 6.752.1."
"What non-disciplinary options exist for IRS time and attendance issues?","Counseling or oral admonishments address minor T&A violations per IRM 6.752.1, focusing on education and correction."
"How are grievances related to IRS leave denials processed?","Leave denial grievances follow IRM 6.771.1 steps, allowing employees to challenge decisions formally."
"What mentoring techniques do IRS managers use in SAP feedback?","Managers provide activity feedback in SAP Continuous Performance, mentoring through regular check-ins and goal updates."
"How does IRS leave administration support veterans' restoration?","Veterans receive restored leave and benefits per IRM 6.630.2, administering USERRA rights for military absences."
"What is the purpose of the Veterans Recruitment Appointment (VRA) at the IRS?","The VRA allows the IRS to appoint eligible veterans to positions up to GS-11 without competition, providing career opportunities and supporting workforce diversity."
"How does the IRS ensure veterans' preference in VRA hiring?","VRA candidates are ranked in preference order (compensable disability, 10-point, 5-point, non-preference) per 5 CFR 302.304, prioritizing preference-eligible veterans."
"What are the eligibility criteria for VRA appointments at the IRS?","Eligible veterans must have served in a war, campaign, or expedition with a badge or medal, or be disabled, with honorable discharge within three years."
"What training is required for VRA appointees with limited education?","VRA appointees with less than 15 years of formal education must follow a signed training plan to complete education within two years."
"How does the IRS Disabled Veterans Affirmative Action Program (DVAAP) function?","DVAAP promotes hiring and advancement of disabled veterans through noncompetitive appointments and local plans, per IRM."
"What is the role of the IRS Human Capital Officer in veterans' programs?","The Human Capital Officer oversees servicewide policies for veterans’ employment and restoration, ensuring compliance with federal laws."
"How does the Veterans Employment Opportunities Act (VEOA) work at the IRS?","VEOA allows preference-eligible veterans to apply for merit promotion positions open to status candidates outside the IRS, granting career appointments."
"What are the conditions for VEOA eligibility at the IRS?","Veterans must be preference-eligible or have three years of honorable active service to qualify for VEOA appointments."
